shape,scale
6.136154224523124,780.5212129699819
5.451861456143223,745.7000313867405
5.473817877205592,814.563087368025
5.514102043191749,866.7476701913666
5.8027344599122745,777.6614892588625
3.6749467440829626,807.7814803116069
4.755009087045223,807.9988296634758
5.237910860083167,748.5650952509872
4.717031852754764,759.2724580300678
6.12133215986858,785.1579340613582
5.0614726605135365,768.2793910367599
5.8141040648169,835.5410886037641
6.1868324761224684,755.8551018335485
5.1244975301249305,775.9611203193596
6.486115081966002,767.7484720258492
5.312617294452824,783.9662812403104
6.158866192196118,739.9578173711133
4.692807297413476,770.9828084684098
5.12948020050171,746.1300427185955
5.161571679925514,813.4952620856217
3.96026249206516,722.034714045544
4.862781067095329,758.1176994221398
6.519152656098957,771.953162186719
5.426326611912957,815.5517635838303
4.216519302299427,851.7230023957302
4.737289135610267,759.5754346998979
4.243161000384384,839.3274185273342
3.36047835744888,733.7678169712568
6.601167847407152,716.8787324691873
4.980297407975287,807.1309411554508
4.618910117248799,801.6420685492427
5.363235116381535,742.6939234692169
2.9699615906856254,813.3709743598768
4.560552894899075,723.3448996305242
5.60441136157354,814.831890330188
5.465954812116098,698.9442586020746
7.254815668172731,790.294835755494
5.437078447720572,756.4280980983198
5.076932581644948,741.6197203451969
5.832176672674121,769.6457360008358
6.440929311759721,784.9267450301036
5.6829935974278944,823.8219293143276
6.971449878907208,738.183996039167
5.850182733744998,810.8746664399243
6.214741948742762,792.3117325787815
3.981612297205011,861.088196872419
5.7411603261925315,782.1085643923124
4.978284968116775,763.653645355226
5.2012276674910245,826.0016368028384
5.502233661229354,730.2717710677241
7.094460879943755,728.5149998484067
7.358890247387494,743.551755625725
4.567042084288065,797.9973400342933
5.712474958908495,791.651371544541
5.758895025525688,792.4561931056824
4.722481508827989,805.8379142125463
4.033144174706127,829.7770733817989
3.521489132574889,834.6585943335537
5.868651386588018,773.9158667311337
5.062347311969961,807.8744355862217
7.397370059714693,795.8158536687811
5.019000356707224,783.9711480070473
7.225961759953075,720.2078392738637
4.873509340177459,857.3671012870553
5.906389639051735,785.1539090975295
3.7871223863102954,908.4636431720749
5.284176454295746,678.6318652114568
5.975239281442184,751.6027544681474
6.5560239749359335,776.9030922643767
6.0099521571105905,813.6732143265727
3.4819062066627904,927.6038751329246
4.820825308164003,706.258095618439
3.6148800070837748,743.5811056778878
3.938299681568277,787.0165164940848
5.591406619811253,749.2715243464054
5.688079542188881,767.151511912794
5.871747861420263,749.2129685355969
6.211527081228688,777.4757445224607
5.77879674514503,718.1242443432438
5.986601728365421,742.7113961563002
3.622418161297651,750.6211549060133
