shape,scale0,beta1
8.47070288733583,692.6400653364799,0.0
5.517928111771216,797.0271992016948,0.0
5.443370349421575,821.4282033063303,0.0
3.840700806663338,804.3984175409156,0.0
6.3727764252643615,845.0491299865365,0.0
3.3974709686247193,755.5238928867343,0.0
4.435460791803845,859.3919157375431,0.0
4.10911983534005,772.3414950043257,0.0
5.848420309364666,772.5832722136164,0.0
4.287328761168609,761.6889037547971,0.0
6.483681300193351,781.7023613303338,0.0
5.501080740605543,744.5466801825272,0.0
3.441598611507792,846.7590154295009,0.0
2.850442574002044,947.0705305483243,0.0
3.5961839492036916,809.7649626533512,0.0
5.372692315565136,781.3444630096711,0.0
5.969130276744913,747.6883297319852,0.0
4.392535206104383,826.5307521472724,0.0
6.1851628566788674,733.2333332514054,0.0
3.6545657715786053,792.8161229437903,0.0
5.9754188100296135,742.8243269588195,0.0
6.598188056911191,725.5208472164775,0.0
5.87569849414254,739.3307127988792,0.0
5.607178384775423,777.7697181234995,0.0
6.120320137849749,733.3368533546349,0.0
3.4973728946643865,810.2046085488923,0.0
4.336495514806143,789.4614898165046,0.0
3.9965247394327448,847.8269118859425,0.0
5.136324603089912,778.1769789681156,0.0
5.78984756943869,761.9422144661928,0.0
5.413115610700219,809.1134581488687,0.0
6.161005181684591,751.3980087331388,0.0
4.154825906879337,766.1900206426618,0.0
5.743182868713156,798.3391783840698,0.0
4.267276192328524,874.0087652878599,0.0
4.514813077277418,800.6160161320624,0.0
5.645020999062283,746.9711590648318,0.0
7.293861458813922,719.085011337723,0.0
5.345919872151116,815.710260020877,0.0
3.6355262495997174,724.1599080200706,0.0
5.405771763121507,725.7159971189292,0.0
3.556572291711433,708.9891155465116,0.0
6.341471807035398,768.2630146654707,0.0
5.6829185326172285,745.9420435454446,0.0
4.195860911784213,798.0749563475564,0.0
3.8528683180114207,821.5827340340031,0.0
4.2753889580210505,765.9102806471146,0.0
7.227492082787392,850.9891277793491,0.0
4.998718188041411,754.0595243139096,0.0
5.914374633300419,693.8043344984303,0.0
5.473665115804509,736.2669343116395,0.0
5.290111842955218,820.4321547259757,0.0
4.1186840228571056,792.6690650826333,0.0
6.749557545840775,744.8671646918392,0.0
4.623367250082036,765.0732304137568,0.0
5.30406355816368,733.8817727916546,0.0
5.636289392674061,790.0670747598336,0.0
5.4615020054385,814.2361637108246,0.0
6.708523368731372,743.3881083128513,0.0
4.108942069673881,826.9968087351517,0.0
5.103276280116332,794.1281751737874,0.0
4.851046305954666,790.1586704973204,0.0
5.0690081306921355,700.4074725285246,0.0
4.023484737228687,773.7964314905527,0.0
4.077133385636175,808.7813027681659,0.0
4.557671852787458,724.0998077986848,0.0
4.591296671537535,784.1530938651395,0.0
4.913767587862591,811.9209796014308,0.0
5.363506606885849,811.0172575119851,0.0
5.452109494887088,720.085067293565,0.0
4.884228386992167,865.3538121260364,0.0
4.8881481534181255,819.332132037922,0.0
4.339283778293121,788.9192578092852,0.0
5.331444541701378,788.1876752513515,0.0
4.670639023012138,743.8532921962122,0.0
3.4452983044304477,844.6327489200575,0.0
4.921364629059438,757.6244295123313,0.0
5.046665487019271,697.4125177414262,0.0
4.390422437602889,704.1402790079196,0.0
5.291130104273983,819.81336209641,0.0
5.273184414997923,777.615321080505,0.0
5.605689579122273,803.5458719936341,0.0
5.464825826929838,804.768728249556,0.0
5.5402054362963735,698.5811944934205,0.0
4.660237440622454,736.5097681486417,0.0
5.9397208307538865,743.4830217092233,0.0
5.234613527536606,796.4873201874624,0.0
4.90674152342165,844.9151425979279,0.0
5.42693512583302,784.128258056883,0.0
4.771884346923749,770.4965144056969,0.0
5.129206626664313,830.9357861357782,0.0
5.7118557368978635,821.018445825537,0.0
6.299107361733575,791.1834042194608,0.0
6.55633363020666,724.9761384136808,0.0
5.121434858677073,772.7997077418432,0.0
5.179653275723486,754.1011902739419,0.0
5.982716011785709,732.9036699026941,0.0
4.667521687694223,710.0307771692836,0.0
6.09973659023693,726.0973030096275,0.0
5.041069780260594,877.9118470426671,0.0
4.024228229011159,725.6146855312842,0.0
3.761275197697983,788.520899896727,0.0
6.134809653403594,763.8520964354818,0.0
3.6413461538431853,759.6659572407862,0.0
4.55816196838046,749.6295788249702,0.0
4.73463162246623,721.197002292096,0.0
4.194552662876742,797.8397530254057,0.0
4.641282758985556,673.8238466699031,0.0
5.776556149938782,748.6244648603144,0.0
3.160529464352852,824.0144030520237,0.0
6.0930668595908415,744.7789663166415,0.0
6.191279820153512,796.7690021183807,0.0
4.826604542222139,676.869849993715,0.0
4.136641067230063,747.1166056079506,0.0
5.3658485913772145,752.3743484149677,0.0
4.029954871182766,780.3380399744573,0.0
4.760484979302236,796.3553105489854,0.0
6.897595262292111,841.7435010462314,0.0
7.887059697519798,742.7261238018122,0.0
5.8497214636956185,737.8577991860298,0.0
4.6135312600596325,830.1328704134045,0.0
5.57766920279624,850.0180350607488,0.0
5.596249697097468,879.2850128533606,0.0
4.806263795581446,813.233148522739,0.0
5.478245279550452,761.7765741104538,0.0
3.0380437870506047,843.5605982814989,0.0
4.3039366783050514,915.9130250259044,0.0
5.17537237801343,777.4076280558717,0.0
4.174650296576087,861.7020281623888,0.0
4.211985517277659,729.1943126179593,0.0
6.143560679783921,676.466298342689,0.0
7.549011600944674,742.8776690346048,0.0
5.264996836879789,707.6516903714813,0.0
6.103531377392529,745.3817333595235,0.0
7.591604601200199,742.0829114675425,0.0
4.097645204793625,755.1059908801354,0.0
4.982051322110508,807.522103393196,0.0
4.868700720661061,699.3103133798337,0.0
3.803723266653153,786.3754449532717,0.0
5.821928811989072,720.6961808150122,0.0
4.966472802435073,715.5696376625815,0.0
5.03641873597487,809.3361029043332,0.0
4.096199148229224,873.9161830094182,0.0
4.282822032791542,741.2433310441082,0.0
6.448811107611048,741.3941069278312,0.0
3.5713167478157324,788.4431179577376,0.0
4.433149152297063,780.8191692190629,0.0
4.55749005984857,827.2693696158456,0.0
5.043872722964587,814.2948446842165,0.0
5.331892840778578,780.8939483185128,0.0
5.082556022899083,846.2223829198373,0.0
3.800816954170274,863.2833850083418,0.0
4.4632458937530615,733.1520956261443,0.0
6.136154224523124,780.5212129699819,0.0
5.451861456143223,745.7000313867405,0.0
5.473817877205592,814.563087368025,0.0
5.514102043191749,866.7476701913666,0.0
5.8027344599122745,777.6614892588625,0.0
3.6749467440829626,807.7814803116069,0.0
4.755009087045223,807.9988296634758,0.0
5.237910860083167,748.5650952509872,0.0
4.717031852754764,759.2724580300678,0.0
6.12133215986858,785.1579340613582,0.0
5.0614726605135365,768.2793910367599,0.0
5.8141040648169,835.5410886037641,0.0
6.1868324761224684,755.8551018335485,0.0
5.1244975301249305,775.9611203193596,0.0
6.486115081966002,767.7484720258492,0.0
5.312617294452824,783.9662812403104,0.0
