shape,scale0,beta1,beta2
5.78509549203217,754.941839729219,-0.1673263924388333,0.3137679892864289
5.021045864717975,625.6301260391274,-0.1719595355769223,5.163530401363636e-05
5.513644521403327,709.9973704724895,-0.1275925462210979,0.3925761656676665
5.325538876458984,799.2718785918981,-0.026731640761442115,0.3929716379794913
5.590292981346851,655.4681231085577,-0.08041250016966409,0.15422075240390468
3.7302906226837704,845.1808440238403,0.024444043573695867,0.3251513804862811
4.909806674766003,742.9472000129429,-0.0834667891316162,0.28523470801620643
3.484329121355149,672.7200917722387,-0.12839094649491534,0.2976636356973376
5.092607515301199,845.1147118390055,-0.015118443523321392,0.43475940869705243
4.647984594957608,775.9946290713445,-0.112155807032966,0.40771085010803665
4.138667553411197,732.2720553093728,-0.0818966950401432,0.33514365951571656
3.901161268292183,684.2389536361071,-0.15102681355186967,0.16370793945627593
5.3515251153243355,835.8021446451546,-0.039151378635827794,0.3781817549694505
4.216767021824772,771.5962365712712,-0.14690454540175385,0.5727932414431127
6.756854451276535,682.4327824401257,-0.059718062994880874,0.23863342807242535
5.359966743844884,778.983329087759,-0.06075825761039715,0.32815571951471495
4.80208265525558,705.4944749704545,-0.03759101992029509,0.13341008569008977
5.450164926389424,662.6003893124586,-0.14839524434853552,0.406868356012011
3.2361633273464503,720.4586108778893,-0.05703071596886007,0.17207489117788863
7.145841137093495,694.1481795266369,-0.0941480150738017,0.2876998374337091
5.124482442257773,749.8541833191045,-0.054003120770480396,0.60503008731811
6.02203242912159,707.1540770897767,-0.15124625783762902,0.451897857720502
3.7265794253429725,797.4646094761058,-0.041104514932596245,0.513964226774197
5.067887789066898,776.1534045105685,-0.10210173990146755,0.5354869496904215
5.136587637237577,800.0330144131234,-0.027502969357112553,0.5825635325413525
6.858954400131014,732.2756824332105,-0.05074036833439054,0.31797895420779165
5.330905033496295,733.5341511100655,-0.07690885897387775,0.4983563288915142
5.1108026240473095,714.6313187122187,-0.13261559226612768,0.15039774919674898
4.556372545859252,748.2511317179519,-0.08045363190913318,0.37839921929159104
4.64777150122037,788.0733240435163,-0.03683623351147993,0.20278602538258664
5.155978448796337,787.2908643976529,0.005226282048202711,0.4224908478374601
5.018239069965132,699.4034017897952,-0.1483666169562767,0.49020337673740977
3.2752912526684925,683.648259242314,-0.14741724395325387,0.46862453955180283
6.199672307459416,721.7349965828239,-0.11492726293617851,0.25610497208163296
6.571222557854236,761.6786905590649,-0.11428025635551772,0.321469210010062
4.062528113910712,698.461220514728,-0.17329190858776253,0.4865041340413207
5.263877384003677,804.2634196419348,0.012278015123929212,0.31471042038961067
3.9202813352427497,738.1206434605042,-0.06875682470183347,0.2721751838590788
5.600010691259357,799.1396301658824,-0.045892543433655314,0.3254685537154249
4.604007219506167,649.3663620889896,-0.16810384507717235,0.3844386165699847
5.637863617243245,728.2062969163715,-0.1216726634273208,0.25523686801435896
5.766208623227128,806.6959701663066,0.0016797184273862893,0.40102334997148487
5.9701246392127905,758.9957720679073,-0.03134520536053992,0.12314466472759031
3.9030643253175694,731.2784779797657,-0.15719927824482974,0.5432497157945869
6.710985281986046,709.5174989182525,-0.07903862455936726,0.4470857780931479
4.426477985350046,686.1229255635482,-0.1744846430914726,0.2956419607165754
3.431866453974418,763.4795480760152,-0.20171304958134662,0.11118733570754352
5.244348718518677,812.6097414839297,-0.06766177794573722,0.4057220927437748
