vin_label,horizon_days,n_days,feature,window_mean,baseline_mean,z_vs_baseline,nf_p05,nf_p95,discriminative
VIN9_F_ALT,90,23,sma_starts,1.0435,0.8725,0.16,0.0,3.0,False
VIN9_F_ALT,90,23,rpm_mean,893.9271,911.1989135742188,-0.29,725.2306,1100.9621,False
VIN9_F_ALT,60,12,vsi_mean,28.2191,28.202999114990234,0.41,27.802,28.2432,False
VIN9_F_ALT,60,12,vsi_std,0.12,0.1103999987244606,0.14,0.0804,0.4849,False
VIN9_F_ALT,60,12,vsi_cv,0.0043,0.0038999998942017555,0.14,0.0029,0.0172,False
VIN9_F_ALT,60,12,vsi_min,22.9492,24.50779914855957,-0.63,20.2,27.8,False
VIN9_F_ALT,60,12,vsi_p05,28.15,28.0549,0.93,27.4,28.0,False
VIN9_F_ALT,60,12,vsi_range,0.2242,0.2901,-0.27,0.2,1.4,False
VIN9_F_ALT,60,12,vsi_entropy,0.4362,0.3484,0.45,0.061,1.8878,False
VIN9_F_ALT,60,12,vsi_sag_frac,0.0002,0.0001,0.59,0.0,0.0016,False
VIN9_F_ALT,60,12,idle_vsi_mean,28.2185,28.20829963684082,0.19,27.7998,28.2619,False
VIN9_F_ALT,60,12,cruise_vsi_mean,28.2188,28.19879913330078,0.54,27.7962,28.2491,False
VIN9_F_ALT,60,12,resting_vsi_mean,24.5446,25.434999465942383,-1.61,23.589,26.39,False
VIN9_F_ALT,60,12,crank_vsi_min,20.4975,21.590999603271484,-0.5,16.39,24.8,False
VIN9_F_ALT,60,12,ged2_cnt,0.0,0.0,,0.0,0.0,False
VIN9_F_ALT,60,12,ged2_frac,0.0,0.0,,0.0,0.0,False
VIN9_F_ALT,60,12,sma_starts,1.5,0.8725,0.59,0.0,3.0,False
VIN9_F_ALT,60,12,rpm_mean,970.1386,911.1989135742188,0.98,725.2306,1100.9621,False
VIN9_F_ALT,45,11,vsi_mean,28.2423,28.202999114990234,1.01,27.802,28.2432,False
VIN9_F_ALT,45,11,vsi_std,0.1248,0.1103999987244606,0.22,0.0804,0.4849,False
VIN9_F_ALT,45,11,vsi_cv,0.0044,0.0038999998942017555,0.22,0.0029,0.0172,False
VIN9_F_ALT,45,11,vsi_min,23.2355,24.50779914855957,-0.51,20.2,27.8,False
VIN9_F_ALT,45,11,vsi_p05,28.2,28.0549,1.42,27.4,28.0,False
VIN9_F_ALT,45,11,vsi_range,0.19,0.2901,-0.42,0.2,1.4,False
VIN9_F_ALT,45,11,vsi_entropy,0.5806,0.3484,1.19,0.061,1.8878,False
VIN9_F_ALT,45,11,vsi_sag_frac,0.0001,0.0001,0.49,0.0,0.0016,False
VIN9_F_ALT,45,11,idle_vsi_mean,28.257,28.20829963684082,0.89,27.7998,28.2619,False
VIN9_F_ALT,45,11,cruise_vsi_mean,28.2421,28.19879913330078,1.17,27.7962,28.2491,False
VIN9_F_ALT,45,11,resting_vsi_mean,24.9133,25.434999465942383,-0.95,23.589,26.39,False
VIN9_F_ALT,45,11,crank_vsi_min,20.3238,21.590999603271484,-0.58,16.39,24.8,False
