vin,failed,feature,z,coef,contribution,risk_linear
VIN4_F_ALT,1,vsi_spectral_entropy,0.4865857009934505,0.24469663435810277,0.11906588335987547,-0.12072349446729044
VIN4_F_ALT,1,bat_charge_delta_trend_right,0.4388180845588432,0.2239905561523778,0.09829110681005644,-0.12072349446729044
VIN4_F_ALT,1,vsi_range_trend_last30d,0.5492600318165842,0.22990434918910724,0.12627727015038012,-0.12072349446729044
VIN4_F_ALT,1,progressive_drift,-0.3489501600415456,-0.2055062299327614,0.07171143182457176,-0.12072349446729044
VIN5_F_ALT,1,vsi_std_ratio_30d,-1.095150296829814,0.4425695736208663,-0.4846801999187359,-0.6873562214367365
VIN5_F_ALT,1,vsi_dominant_freq,-0.07878657314561276,0.42647078444619546,-0.03360017165323703,-0.6873562214367365
VIN5_F_ALT,1,vsi_spectral_entropy,0.3787082169553488,0.24469663435810277,0.09266862609273203,-0.6873562214367365
VIN5_F_ALT,1,bat_charge_delta_trend_right,-0.7827645838585696,0.2239905561523778,-0.1753318744748656,-0.6873562214367365
VIN5_F_ALT,1,vsi_range_trend_last30d,0.15054146549108013,0.22990434918910724,0.03461013764970122,-0.6873562214367365
VIN5_F_ALT,1,progressive_drift,-0.3843059205237179,-0.2055062299327614,0.07897726086766871,-0.6873562214367365
VIN6_F_ALT,1,vsi_std_ratio_30d,1.2837897363538975,0.4425695736208663,0.5681662762369888,0.9234716342365059
VIN6_F_ALT,1,vsi_dominant_freq,-0.3993792929611684,0.42647078444619546,-0.1703236003607164,0.9234716342365059
VIN6_F_ALT,1,vsi_spectral_entropy,-0.14567839978189703,0.24469663435810277,-0.035647014125304376,0.9234716342365059
VIN6_F_ALT,1,bat_charge_delta_trend_right,1.8192816597980621,0.2239905561523778,0.40750191077598896,0.9234716342365059
VIN6_F_ALT,1,vsi_range_trend_last30d,1.0742063360984253,0.22990434918910724,0.24696470859552386,0.9234716342365059
VIN6_F_ALT,1,progressive_drift,-0.5197377867764473,-0.2055062299327614,0.1068093531140251,0.9234716342365059
VIN7_F_ALT,1,vsi_std_ratio_30d,-0.8298967391569266,0.4425695736208663,-0.3672870459980283,0.9400162481596113
VIN7_F_ALT,1,vsi_dominant_freq,3.4016427788865458,0.42647078444619546,1.4507012643174815,0.9400162481596113
VIN7_F_ALT,1,vsi_spectral_entropy,0.39376901553866955,0.24469663435810277,0.09635395281681591,0.9400162481596113
VIN7_F_ALT,1,bat_charge_delta_trend_right,-0.4893986535223583,0.2239905561523778,-0.10962067658269789,0.9400162481596113
VIN7_F_ALT,1,vsi_range_trend_last30d,-0.15942325690411974,0.22990434918910724,-0.036652100124149496,0.9400162481596113
VIN7_F_ALT,1,progressive_drift,-0.5183339393897775,-0.2055062299327614,0.10652085373018962,0.9400162481596113
VIN8_F_ALT,1,vsi_std_ratio_30d,0.1342491474684485,0.4425695736208663,0.05941458795407605,1.2088532811298371
VIN8_F_ALT,1,vsi_dominant_freq,-0.39886242607084815,0.42647078444619546,-0.17010317173254724,1.2088532811298371
VIN8_F_ALT,1,vsi_spectral_entropy,0.5951031696274439,0.24469663435810277,0.14561974270367464,1.2088532811298371
VIN8_F_ALT,1,bat_charge_delta_trend_right,1.4427301925137503,0.2239905561523778,0.32315793819898203,1.2088532811298371
VIN8_F_ALT,1,vsi_range_trend_last30d,4.202526331531137,0.22990434918910724,0.9661790812007525,1.2088532811298371
VIN8_F_ALT,1,progressive_drift,-0.4115938618141852,-0.2055062299327614,0.08458510280489917,1.2088532811298371
VIN9_F_ALT,1,vsi_std_ratio_30d,0.33183287466503114,0.4425695736208663,0.14685913385388918,0.10345130269421576
VIN9_F_ALT,1,vsi_dominant_freq,-0.21577565206761118,0.42647078444619546,-0.09202201160166348,0.10345130269421576
VIN9_F_ALT,1,vsi_spectral_entropy,0.48748942972565446,0.24469663435810277,0.1192870227390185,0.10345130269421576
VIN9_F_ALT,1,bat_charge_delta_trend_right,0.6107805282554857,0.2239905561523778,0.13680907021098934,0.10345130269421576
VIN9_F_ALT,1,vsi_range_trend_last30d,-0.4375242043985568,0.22990434918910724,-0.10058871746673213,0.10345130269421576
VIN9_F_ALT,1,progressive_drift,-0.4530607417068446,-0.2055062299327614,0.09310680495871423,0.10345130269421576
VIN10_F_ALT,1,vsi_std_ratio_30d,1.6242638663579994,0.4425695736208663,0.7188497667818395,0.5926668434959155
VIN10_F_ALT,1,vsi_dominant_freq,-0.33523327985144186,0.42647078444619546,-0.14296719983071537,0.5926668434959155
VIN10_F_ALT,1,vsi_spectral_entropy,0.01953242912673326,0.24469663435810277,0.004779519668149805,0.5926668434959155
VIN10_F_ALT,1,bat_charge_delta_trend_right,-0.21784768632054308,0.2239905561523778,-0.04879582441544719,0.5926668434959155
VIN10_F_ALT,1,vsi_range_trend_last30d,0.7268296217537698,0.22990434918910724,0.1671012911606654,0.5926668434959155
VIN10_F_ALT,1,progressive_drift,-0.455943793830874,-0.2055062299327614,0.09369929013142315,0.5926668434959155
VIN1_NF_ALT,0,vsi_std_ratio_30d,-0.9744153054110641,0.4425695736208663,-0.43124656624542085,-1.0632382159039593
VIN1_NF_ALT,0,vsi_dominant_freq,-0.38628643811781666,0.42647078444619546,-0.164739880285032,-1.0632382159039593
VIN1_NF_ALT,0,vsi_spectral_entropy,-0.2865949490203255,0.24469663435810277,-0.0701288194493057,-1.0632382159039593
VIN1_NF_ALT,0,bat_charge_delta_trend_right,-0.13269852398542445,0.2239905561523778,-0.02972321618809487,-1.0632382159039593
VIN1_NF_ALT,0,vsi_range_trend_last30d,-0.12828016333936335,0.22990434918910724,-0.029492167466408703,-1.0632382159039593
VIN1_NF_ALT,0,progressive_drift,0.6710627036212892,-0.2055062299327614,-0.13790756626969716,-1.0632382159039593
VIN2_NF_ALT,0,vsi_std_ratio_30d,-0.5146512984457392,0.4425695736208663,-0.227769005716556,-0.5031215128834428
VIN2_NF_ALT,0,vsi_dominant_freq,0.21576226069123233,0.42647078444619546,0.09201630057087437,-0.5031215128834428
VIN2_NF_ALT,0,vsi_spectral_entropy,0.5826014548946726,0.24469663435810277,0.1425606151848604,-0.5031215128834428
VIN2_NF_ALT,0,bat_charge_delta_trend_right,-1.4154910712987598,0.2239905561523778,-0.31705663228893427,-0.5031215128834428
VIN2_NF_ALT,0,vsi_range_trend_last30d,0.0027353146004521784,0.22990434918910724,0.000628860723044421,-0.5031215128834428
VIN2_NF_ALT,0,progressive_drift,-0.031621175890358455,-0.2055062299327614,0.006498348643268296,-0.5031215128834428
